player_name,match_link,home_team
Dustin Scheibe,/spielbericht/index/spielbericht/2503904,True
Sebastian Dräger,/spielbericht/index/spielbericht/2503904,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2503904,True
Andy Wendschuch,/spielbericht/index/spielbericht/2503904,True
Ramón Hofmann,/spielbericht/index/spielbericht/2503904,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2503904,True
Djamal Ziane,/spielbericht/index/spielbericht/2503904,True
Christian Bienko,/spielbericht/index/spielbericht/2503904,False
Tobias Friebertshäuser,/spielbericht/index/spielbericht/2503904,False
Alexander Bury,/spielbericht/index/spielbericht/2503904,False
Stephan Schammer,/spielbericht/index/spielbericht/2503904,False
Tom Butzmann,/spielbericht/index/spielbericht/2503904,False
Martin Wehlert,/spielbericht/index/spielbericht/2503904,False
Mustapha Amari,/spielbericht/index/spielbericht/2503904,False
Nikola Odovic,/spielbericht/index/spielbericht/2503904,False
Pascal dos Santos Coelho,/spielbericht/index/spielbericht/2503904,False
Matthias von der Weth,/spielbericht/index/spielbericht/2503904,False
Georg Ströhl,/spielbericht/index/spielbericht/2503904,False
René Geuß,/spielbericht/index/spielbericht/2503914,True
Norman Bonsack,/spielbericht/index/spielbericht/2503914,True
Tobias Eckermann,/spielbericht/index/spielbericht/2503914,True
Kevin Reinemann,/spielbericht/index/spielbericht/2503914,True
Christopher Seel,/spielbericht/index/spielbericht/2503914,True
Dominik Müller,/spielbericht/index/spielbericht/2503914,True
David Leischner,/spielbericht/index/spielbericht/2503914,True
Daniel Trübenbach,/spielbericht/index/spielbericht/2503914,True
Toni Jurascheck,/spielbericht/index/spielbericht/2503914,True
Andy Trübenbach,/spielbericht/index/spielbericht/2503914,True
Alexander Pohl,/spielbericht/index/spielbericht/2503914,True
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2503914,False
Markus Krug,/spielbericht/index/spielbericht/2503914,False
Sebastian Dräger,/spielbericht/index/spielbericht/2503914,False
Marcel Trojandt,/spielbericht/index/spielbericht/2503914,False
Armin Kilz,/spielbericht/index/spielbericht/2503914,False
Damian Paszlinski,/spielbericht/index/spielbericht/2503914,False
Sebastian Zielinsky,/spielbericht/index/spielbericht/2503914,False
Andy Wendschuch,/spielbericht/index/spielbericht/2503914,False
Ramón Hofmann,/spielbericht/index/spielbericht/2503914,False
Gianluca Marzullo,/spielbericht/index/spielbericht/2503914,False
Djamal Ziane,/spielbericht/index/spielbericht/2503914,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2503920,True
Markus Krug,/spielbericht/index/spielbericht/2503920,True
Damian Paszlinski,/spielbericht/index/spielbericht/2503920,True
Gino Böhne,/spielbericht/index/spielbericht/2503920,True
Sebastian Dräger,/spielbericht/index/spielbericht/2503920,True
Armin Kilz,/spielbericht/index/spielbericht/2503920,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2503920,True
Andy Wendschuch,/spielbericht/index/spielbericht/2503920,True
Ramón Hofmann,/spielbericht/index/spielbericht/2503920,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2503920,True
Djamal Ziane,/spielbericht/index/spielbericht/2503920,True
Paul Büchel,/spielbericht/index/spielbericht/2503920,False
Emre Kalender,/spielbericht/index/spielbericht/2503920,False
Saheed Mustapha,/spielbericht/index/spielbericht/2503920,False
Sascha Jakicevic,/spielbericht/index/spielbericht/2503920,False
Stefan Raßmann,/spielbericht/index/spielbericht/2503920,False
Robert Lischke,/spielbericht/index/spielbericht/2503920,False
Carsten Weis,/spielbericht/index/spielbericht/2503920,False
Miroslav Khvasta,/spielbericht/index/spielbericht/2503920,False
Patrik Twardzik,/spielbericht/index/spielbericht/2503920,False
Manh Van Pham,/spielbericht/index/spielbericht/2503920,False
Marco Pusch,/spielbericht/index/spielbericht/2503920,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2506803,True
Markus Krug,/spielbericht/index/spielbericht/2506803,True
Ronny Surma,/spielbericht/index/spielbericht/2506803,True
Marcel Trojandt,/spielbericht/index/spielbericht/2506803,True
Sebastian Dräger,/spielbericht/index/spielbericht/2506803,True
Hiromu Watahiki,/spielbericht/index/spielbericht/2506803,True
Ondrej Brusch,/spielbericht/index/spielbericht/2506803,True
Norikazu Murakami,/spielbericht/index/spielbericht/2506803,True
Ramón Hofmann,/spielbericht/index/spielbericht/2506803,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2506803,True
Djamal Ziane,/spielbericht/index/spielbericht/2506803,True
Markus Scholz,/spielbericht/index/spielbericht/2506803,False
Franz Pfanne,/spielbericht/index/spielbericht/2506803,False
Alban Sabah,/spielbericht/index/spielbericht/2506803,False
Dominic Rass,/spielbericht/index/spielbericht/2506803,False
David Malembana,/spielbericht/index/spielbericht/2506803,False
Sebastian Scholz,/spielbericht/index/spielbericht/2506803,False
Luíz Henrique Gregatti,/spielbericht/index/spielbericht/2506803,False
Taira Tomita,/spielbericht/index/spielbericht/2506803,False
Furhgill Zeldenrust,/spielbericht/index/spielbericht/2506803,False
Tom Hagemann,/spielbericht/index/spielbericht/2506803,False
Kevin Bönisch,/spielbericht/index/spielbericht/2506803,False
Tom Neukam,/spielbericht/index/spielbericht/2506811,True
Robert Zickert,/spielbericht/index/spielbericht/2506811,True
Pierre le Beau,/spielbericht/index/spielbericht/2506811,True
Michael Lerchl,/spielbericht/index/spielbericht/2506811,True
Fabian Schößler,/spielbericht/index/spielbericht/2506811,True
David Haider,/spielbericht/index/spielbericht/2506811,True
Marcel Nüchtern,/spielbericht/index/spielbericht/2506811,True
Isaac Akyere,/spielbericht/index/spielbericht/2506811,True
Pascal Ibold,/spielbericht/index/spielbericht/2506811,True
Mario Hesse,/spielbericht/index/spielbericht/2506811,True
Dawid Krieger,/spielbericht/index/spielbericht/2506811,True
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2506811,False
Markus Krug,/spielbericht/index/spielbericht/2506811,False
Ronny Surma,/spielbericht/index/spielbericht/2506811,False
Marcel Trojandt,/spielbericht/index/spielbericht/2506811,False
Sebastian Dräger,/spielbericht/index/spielbericht/2506811,False
Hiromu Watahiki,/spielbericht/index/spielbericht/2506811,False
Ondrej Brusch,/spielbericht/index/spielbericht/2506811,False
Norikazu Murakami,/spielbericht/index/spielbericht/2506811,False
Ramón Hofmann,/spielbericht/index/spielbericht/2506811,False
